name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude,price_per_sq_foot_SA,price_per_sq_foot_GFA
NEPTUNE TERRACE,FLAT A・3 Rooms,Chai Wan,4960000.0,862.0,988.0,https://hk.centanet.com/findproperty/en/detail/NEPTUNE-TERRACE_DIP252?theme=buy,22.2678103,114.2360778,5754.060324825986,5020.242914979757
Heng On Estate・Heng Fung House (Block 3),High Floor・FLAT 7・2 Rooms,Heng On,2600000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/Heng-On-Estate-Heng-Fung-House-(Block-3)_EGW531?theme=buy,,,5869.074492099323,
Ka Shing Court・Ka Yeung House (Block D),Middle Floor・FLAT 6・2 Rooms,Fanling,2600000.0,435.0,595.0,https://hk.centanet.com/findproperty/en/detail/Ka-Shing-Court-Ka-Yeung-House-(Block-D)_ENP982?theme=buy,22.4916829,114.1414685,5977.0114942528735,4369.747899159664
YIU ON ESTATE・YIU WO HOUSE (BLOCK 1),Studio,Ma On Shan,1380000.0,230.0,,https://hk.centanet.com/findproperty/en/detail/YIU-ON-ESTATE-YIU-WO-HOUSE-(BLOCK-1)_EGT514?theme=buy,22.4276756,114.2402751,6000.0,
FU SHIN ESTATE・SHIN NGA HOUSE (BLOCK 3),2 Rooms,Tai Po Town Centre,2290000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/FU-SHIN-ESTATE-SHIN-NGA-HOUSE-(BLOCK-3)_ATJ094?theme=buy,22.4423218,114.1655064,6010.498687664042,
TAI WO ESTATE・OI WO HOUSE (BLOCK 2),2 Rooms,Tai Po Town Centre,2200000.0,366.0,,https://hk.centanet.com/findproperty/en/detail/TAI-WO-ESTATE-OI-WO-HOUSE-(BLOCK-2)_AOK435?theme=buy,22.4423218,114.1655064,6010.928961748634,
Tsui Lam Estate・Sau Lam House (Block 2),Low Floor・FLAT 40・2 Rooms,Po Lam,2100000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/Tsui-Lam-Estate-Sau-Lam-House-(Block-2)_UDZ127?theme=buy,22.3237131,114.2548803,6017.191977077364,
HIN KENG ESTATE・HIN YEUNG HOUSE (BLOCK 3),High Floor・FLAT 3・2 Rooms,Tai Wai,2300000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/HIN-KENG-ESTATE-HIN-YEUNG-HOUSE-(BLOCK-3)_EDM393?theme=buy,22.375941,114.178626,6036.745406824147,
HIN KENG ESTATE・HIN TAK HOUSE (BLOCK 2),2 Rooms,Tai Wai,2300000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/HIN-KENG-ESTATE-HIN-TAK-HOUSE-(BLOCK-2)_EDL593?theme=buy,22.375941,114.178626,6036.745406824147,
TAI WO ESTATE,High Floor・2 Rooms,Tai Po Town Centre,2680000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/TAI-WO-ESTATE_AOL635?theme=buy,22.4423218,114.1655064,6049.661399548533,
Lei Cheng Uk Estate・Wo Ping House (Block 3),Middle Floor・FLAT 30・Studio,Cheung Sha Wan,1680000.0,277.0,,https://hk.centanet.com/findproperty/en/detail/Lei-Cheng-Uk-Estate-Wo-Ping-House-(Block-3)_MXE136?theme=buy,22.3358055,114.1494892,6064.9819494584835,
KWONG YUEN ESTATE・BANYAN HOUSE (BLOCK 2),2 Rooms,Siu Lek Yuen,2290000.0,376.0,,https://hk.centanet.com/findproperty/en/detail/KWONG-YUEN-ESTATE-BANYAN-HOUSE-(BLOCK-2)_EDU969?theme=buy,22.3833699,114.2139715,6090.425531914893,
TIN CHUNG COURT・CHUNG WA HOUSE (BLOCK P),2 Rooms,Tin Shui Wai,3300000.0,539.0,,https://hk.centanet.com/findproperty/en/detail/TIN-CHUNG-COURT-CHUNG-WA-HOUSE-(BLOCK-P)_CKG218?theme=buy,22.4606419,114.0041996,6122.448979591837,
WAH MING ESTATE・SHUN MING HOUSE (BLOCK 2),Middle Floor・FLAT 12・3 Rooms,Fanling,3000000.0,485.0,,https://hk.centanet.com/findproperty/en/detail/WAH-MING-ESTATE-SHUN-MING-HOUSE-(BLOCK-2)_EPM130?theme=buy,22.4916829,114.1414685,6185.567010309278,
CHEUNG FAT ESTATE・CHUN FAT HOUSE (BLOCK 5),Middle Floor・FLAT 17・(2 Suites),Tsing Yi,2200000.0,355.0,,https://hk.centanet.com/findproperty/en/detail/CHEUNG-FAT-ESTATE-CHUN-FAT-HOUSE-(BLOCK-5)_FIK051?theme=buy,22.3474872,114.1023164,6197.183098591549,
CHOI PO COURT,1 Room,Sheung Shui,2180000.0,351.0,468.0,https://hk.centanet.com/findproperty/en/detail/CHOI-PO-COURT_EOC414?theme=buy,22.5112008,114.1260991,6210.826210826211,4658.119658119658
Po Ming Court・Po Pak House (Block B),Low Floor・FLAT 17・2 Rooms,Tseung Kwan O,2650000.0,426.0,,https://hk.centanet.com/findproperty/en/detail/Po-Ming-Court-Po-Pak-House-(Block-B)_SBT464?theme=buy,22.3089111,114.2635572,6220.657276995305,
KING LAM ESTATE・KING LUI HOUSE (BLOCK 2),High Floor・FLAT 9・1 Room,Po Lam,2180000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/KING-LAM-ESTATE-KING-LUI-HOUSE-(BLOCK-2)_UDT900?theme=buy,22.3237131,114.2548803,6246.418338108882,
Ching Wah Court・WAH SUEN HOUSE (BLOCK B),Low Floor・FLAT 3・2 Rooms,Tsing Yi,2500000.0,394.0,531.0,https://hk.centanet.com/findproperty/en/detail/Ching-Wah-Court-WAH-SUEN-HOUSE-(BLOCK-B)_FCD769?theme=buy,22.3474872,114.1023164,6345.177664974619,4708.097928436911
Kingston Terrace・Block 2,2 Rooms,Tuen Mun San Hui,3200000.0,502.0,642.0,https://hk.centanet.com/findproperty/en/detail/Kingston-Terrace-Block-2_CIY467?theme=buy,22.3989729,113.9789238,6374.501992031873,4984.423676012461
CHUK YUEN NORTH ESTATE・WAI YUEN HOUSE (BLOCK 10),FLAT 5A・Studio,Wong Tai Sin,950000.0,149.0,,https://hk.centanet.com/findproperty/en/detail/CHUK-YUEN-NORTH-ESTATE-WAI-YUEN-HOUSE-(BLOCK-10)_UKA799?theme=buy,22.3548115,114.1974398,6375.838926174497,
Siu Shan Court・Lau King House (Block K),2 Rooms,Tuen Mun Ferry Pier,3500000.0,546.0,670.0,https://hk.centanet.com/findproperty/en/detail/Siu-Shan-Court-Lau-King-House-(Block-K)_CIM406?theme=buy,22.3717798,113.9660391,6410.25641025641,5223.880597014925
WING FOK CENTRE・BLOCK 4,FLAT B・3 Rooms,Fanling,3800000.0,592.0,712.0,https://hk.centanet.com/findproperty/en/detail/WING-FOK-CENTRE-BLOCK-4_ENU945?theme=buy,22.4916829,114.1414685,6418.918918918919,5337.078651685393
Tsui Yiu Court,Low Floor・FLAT 2・2 Rooms,Lai King,3480000.0,537.0,631.0,https://hk.centanet.com/findproperty/en/detail/Tsui-Yiu-Court_MPG529?theme=buy,22.3472644,114.1279688,6480.446927374302,5515.055467511886
Kam Hay Court・Kam Yan House (Block B),Middle Floor・FLAT 6・2 Rooms,Ma On Shan,2600000.0,401.0,515.0,https://hk.centanet.com/findproperty/en/detail/Kam-Hay-Court-Kam-Yan-House-(Block-B)_EGG094?theme=buy,22.4276756,114.2402751,6483.790523690773,5048.543689320389
Foon Lok Mansion,FLAT F・2 Rooms,Tai Po Market,4099999.9999999995,632.0,,https://hk.centanet.com/findproperty/en/detail/Foon-Lok-Mansion_AOF850?theme=buy,22.4423218,114.1655064,6487.341772151898,
PRIME VIEW GARDEN,2 Rooms,Tuen Mun San Hui,3280000.0,504.0,,https://hk.centanet.com/findproperty/en/detail/PRIME-VIEW-GARDEN_CGM672?theme=buy,22.3989729,113.9789238,6507.936507936508,
TIN CHUNG COURT・CHUNG HO HOUSE (BLOCK L),2 Rooms,Tin Shui Wai,3300000.0,506.0,665.0,https://hk.centanet.com/findproperty/en/detail/TIN-CHUNG-COURT-CHUNG-HO-HOUSE-(BLOCK-L)_CXD062?theme=buy,22.4606419,114.0041996,6521.739130434783,4962.4060150375935
King Lam Estate・KING TAO HOUSE (BLOCK 6),High Floor・FLAT 17・2 Rooms,Po Lam,2900000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/King-Lam-Estate-KING-TAO-HOUSE-(BLOCK-6)_UDW341?theme=buy,22.3237131,114.2548803,6546.27539503386,
KING LAM ESTATE・KING LUI HOUSE (BLOCK 2),Middle Floor・FLAT 13・2 Rooms,Po Lam,2300000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/KING-LAM-ESTATE-KING-LUI-HOUSE-(BLOCK-2)_UDT963?theme=buy,22.3237131,114.2548803,6590.25787965616,
Yung Shing Court,High Floor・FLAT 16・3 Rooms,Fanling,4200000.0,636.0,892.0,https://hk.centanet.com/findproperty/en/detail/Yung-Shing-Court_EPD771?theme=buy,22.4916829,114.1414685,6603.773584905661,4708.520179372197
SHAU KEI WAN ROAD,2 Rooms,Sai Wan Ho,3600000.0,544.0,,https://hk.centanet.com/findproperty/en/detail/SHAU-KEI-WAN-ROAD_ZAA415?theme=buy,22.2824738,114.2227035,6617.64705882353,
Wing Fai Centre,3 Rooms,Fanling,3800000.0,574.0,687.0,https://hk.centanet.com/findproperty/en/detail/Wing-Fai-Centre_ENT974?theme=buy,22.4916829,114.1414685,6620.20905923345,5531.295487627365
KING SHING COURT・YAN KING HOUSE (BLOCK C),1 Room,Fanling,2900000.0,438.0,600.0,https://hk.centanet.com/findproperty/en/detail/KING-SHING-COURT-YAN-KING-HOUSE-(BLOCK-C)_ENH191?theme=buy,22.4916829,114.1414685,6621.004566210046,4833.333333333333
SIU HONG COURT・SIU YAN HOUSE (BLOCK G),2 Rooms,Siu Hong,3200000.0,483.0,588.0,https://hk.centanet.com/findproperty/en/detail/SIU-HONG-COURT-SIU-YAN-HOUSE-(BLOCK-G)_CGD954?theme=buy,22.4117535,113.9789961,6625.258799171843,5442.1768707483
Kingston Terrace・BLOCK 2,Middle Floor・FLAT A・3 Rooms・(1 Suite),Tuen Mun San Hui,4500000.0,677.0,881.0,https://hk.centanet.com/findproperty/en/detail/Kingston-Terrace-BLOCK-2_CIY227?theme=buy,22.3989729,113.9789238,6646.971935007386,5107.83200908059
KING SHING COURT・FOON KING HOUSE (BLOCK A),High Floor・FLAT 12・2 Rooms,Fanling,3600000.0,538.0,737.0,https://hk.centanet.com/findproperty/en/detail/KING-SHING-COURT-FOON-KING-HOUSE-(BLOCK-A)_ENA874?theme=buy,22.4916829,114.1414685,6691.449814126394,4884.667571234735
CHEUNG ON ESTATE・ON PAK HOUSE (BLOCK 7),Middle Floor・FLAT 20・2 Rooms,Tsing Yi,2980000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/CHEUNG-ON-ESTATE-ON-PAK-HOUSE-(BLOCK-7)_FEJ934?theme=buy,22.3474872,114.1023164,6726.86230248307,
FUNG TAK ESTATE・PIK FUNG HOUSE (BLOCK 2),Middle Floor・FLAT 22・3 Rooms,Diamond Hill,2980000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/FUNG-TAK-ESTATE-PIK-FUNG-HOUSE-(BLOCK-2)_SKO926?theme=buy,,,6726.86230248307,
GLORIOUS GARDEN・BLOCK 9,3 Rooms,Tuen Mun South,4000000.0,592.0,695.0,https://hk.centanet.com/findproperty/en/detail/GLORIOUS-GARDEN-BLOCK-9_CGB843?theme=buy,22.3908295,113.9725126,6756.756756756757,5755.395683453237
LOWER WONG TAI SIN (1) ESTATE・LUNG SHUN HOUSE (BLOCK 8),Studio,Wong Tai Sin,3900000.0,572.0,,https://hk.centanet.com/findproperty/en/detail/LOWER-WONG-TAI-SIN-(1)-ESTATE-LUNG-SHUN-HOUSE-(BLOCK-8)_UBZ378?theme=buy,22.3548115,114.1974398,6818.181818181818,
